name,address,price,category,rating,url
숙수도가,"성북구 동소문로 17길 28, Seoul, 02830, 한국",₩₩ (보통),바비큐,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sooksoodoga
니시무라멘,"서울 마포구 동교로 265, 4층, Seoul, 03983, 한국",₩ (저렴),라멘,Bib Gourmand,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/nishimuramen
서교난면방,"마포구 동교로 12길 16, Seoul, 04029, 한국",₩ (저렴),국수,Bib Gourmand,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/seokyonanmyunbang
만두집,"강남구 압구정로 338, Seoul, 06018, 한국",₩ (저렴),만두,"Bib Gourmand, Small Shop",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mandujip
게방식당,"강남구 선릉로 131길 17, Seoul, 06060, 한국",₩ (저렴),게장,"Bib Gourmand, Small Shop",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gebang-sikdang
에빗,"강남구 도산대로 45길 10-5, Seoul, 06021, 한국",₩₩₩₩ (고가),"이노베이티브, 한식",2 Stars,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/evett
꽃밥에피다,"종로구 인사동 16길 3-6, Seoul, 03146, 한국",₩₩ (보통),한식,Bib Gourmand,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/a-flower-blossom-on-the-rice
기가스,"중구 퇴계로 6가길 30, 3층, Seoul, 04635, 한국",₩₩₩ (다소 고가),지중해식,1 Star,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gigas
빈호,"강남구 학동로 43길 38, 논현웰스톤 162호, Seoul, 06059, 한국",₩₩₩ (다소 고가),컨템퍼러리,1 Star,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/vinho
도림,"중구 을지로 30, 롯데호텔 37층, Seoul, 04533, 한국",₩₩₩₩ (고가),중식,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/toh-lim
밍글스,"강남구 도산대로 67길 19, 2층, Seoul, 06016, 한국",₩₩₩₩ (고가),한식,3 Stars,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mingles
온지음,"종로구 효자로 49, 4층, Seoul, 03043, 한국",₩₩₩₩ (고가),한식,1 Star,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/onjium
야키토리 키유,"서울 마포구 도화 4길 31, Seoul, 04169, 한국",₩₩ (보통),야키토리,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/yakitori-kiyu
황생가 칼국수,"종로구 북촌로 5길 78, Seoul, 03053, 한국",₩ (저렴),칼국수,"Bib Gourmand, Small Shop",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/hwangsaengga-kalguksu
트리드,"강남구 선릉로 162길 16, 2층, Seoul, 06014, 한국",₩₩₩ (다소 고가),"컨템퍼러리, 아메리칸 컨템퍼러리","0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/trid
윤서울,"강남구 선릉로 805, Seoul, 06019, 한국",₩₩₩ (다소 고가),한식,1 Star,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/yun
하동관,"중구 명동 9길 12, Seoul, 04538, 한국",₩ (저렴),곰탕,Small Shop,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/hadongkwan
쿠시카와,"강남구 논현로 24길 37, Seoul, 06300, 한국",₩₩ (보통),쿠시아게,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/kushi-kawa
텐지몽,"강남구 학동로 97길 41, 4층, Seoul, 06072, 한국",₩₩ (보통),일식,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/tenjimon
무궁화,"중구 을지로 30, 롯데호텔 38층, Seoul, 04533, 한국",₩₩₩₩ (고가),한식,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mugunghwa
비채나,"송파구 올림픽로 300, 롯데월드 타워 81층, Seoul, 05551, 한국",₩₩₩ (다소 고가),한식,1 Star,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/bicena
